Epoch,Train Loss,Valid loss,Train Accuracy,Valid Accuracy,Learning Rate
1,4.466843718719482,4.204009799194336,3.678,7.53,4.168702542401261e-05
2,4.249008821640015,3.973100518798828,6.81,11.82,7.4724597055139e-05
3,4.050431964416504,3.7718342445373536,9.982,15.43,0.000123392552825222
4,3.891316991348267,3.6199343254089356,13.056,18.34,0.0001792644684910071
5,3.7346079779052737,3.4485251529693604,16.198,22.36,0.00023266661814324514
6,3.576290997314453,3.2494668422698973,19.36,26.4,0.0002743528939199712
7,3.4349434899902342,3.165497950744629,22.372,28.69,0.00029710568745325945
8,3.3238214596557616,3.0400790649414065,24.8,31.33,0.0002999907092552842
9,3.223194842453003,2.9307675285339356,27.358,34.28,0.00029991751237312984
10,3.116849665145874,2.896272947692871,30.002,34.31,0.00029977152577201414
11,3.0504447365570067,2.764152805709839,31.582,38.25,0.0002995528204040648
12,2.974912308349609,2.681847232055664,33.182,40.77,0.00029926150256404506
13,2.8973812257385254,2.652857221221924,35.158,41.52,0.0002988977138376925
14,2.841872500076294,2.6087966491699217,36.528,42.63,0.0002984616310329058
15,2.788786166152954,2.565614814758301,38.224,44.44,0.0002979534660938129
16,2.7318099462127687,2.5145260612487794,39.504,45.31,0.0002973734659977624
17,2.6806871447753906,2.4642047439575196,41.188,46.51,0.0002967219126352879
18,2.622893218231201,2.431934704208374,42.476,47.84,0.0002959991226731043
19,2.5864893350219726,2.421523860549927,43.714,48.5,0.0002952054474002019
20,2.542954953613281,2.4270270179748534,44.868,48.41,0.000294341272557114
21,2.4911376724243164,2.341965185928345,46.05,50.96,0.0002934070181484394
22,2.46155821144104,2.342269284439087,46.674,50.64,0.0002924031382387129
23,2.416236923370361,2.3267393533706664,48.302,51.32,0.0002913301207317219
24,2.382013632507324,2.326351686477661,49.31,51.05,0.000290188487133376
25,2.347409061279297,2.3029957008361817,50.264,52.08,0.00028897879229824585
26,2.3068805145263673,2.278990054321289,51.234,53.14,0.00028770162415989387
27,2.2776077238464354,2.2341227577209475,52.312,54.72,0.0002863576034451278
28,2.2366286476135255,2.2367904987335203,53.748,54.27,0.00028494738337231623
29,2.2070238023376465,2.234300115966797,54.546,54.41,0.0002834716493339128
30,2.1791127354431152,2.1957516666412356,55.252,55.68,0.00028193111856334287
31,2.150817128601074,2.196872096824646,56.174,55.83,0.00028032653978641534
32,2.114040995864868,2.182351951980591,57.128,56.66,0.00027865869285742816
33,2.082990687942505,2.18538037147522,58.104,56.41,0.0002769283883801453
34,2.0648144235229493,2.174759527206421,58.702,56.8,0.00027513646731382814
35,2.026956657180786,2.1848781673431397,59.736,57.12,0.0002732838005645149
36,1.9960513330841065,2.143673610687256,60.802,57.99,0.0002713712885617437
37,1.9772072009277344,2.1588941230773924,61.306,57.53,0.000269399860820928
38,1.9528563627243043,2.1191953161239625,62.17,58.51,0.00026737047549159543
